gene_id	day1_1	day1_2	day1_3	day60_1	day60_2	day60_3
FBgn0002862	8996	5537	1269	1798	2027	3599
FBgn0002865	9581	5911	1405	1862	1988	3832
FBgn0002868	5124	4948	15184	9288	18618	2050
FBgn0002872	157	203	2474	2046	1650	63
FBgn0002873	773	647	2427	2628	1865	309
FBgn0002878	142	136	1352	1393	930	57
FBgn0002887	159	195	1030	941	741	64
FBgn0002891	100	113	952	854	698	40
FBgn0002899	121	121	1684	1503	1267	48
FBgn0002901	150	149	1108	1118	921	60
FBgn0002905	217	175	355	298	299	87
FBgn0002906	242	221	1423	1492	1151	97
FBgn0002914	1304	1392	3118	2707	2350	522
FBgn0002917	409	391	62	46	60	164
FBgn0002921	26050	25924	13330	10822	12958	10420
FBgn0002922	65	91	19	18	3	26
FBgn0002924	319	364	3552	3583	2670	128
FBgn0002930	3213	2489	1335	763	1705	1285
FBgn0002931	254	304	70	50	73	102
FBgn0002932	347	340	720	819	734	139
FBgn0002937	390	351	45	65	68	156
FBgn0002938	6626	6238	659	625	837	2650
FBgn0002939	3553	4873	162	111	233	1421
FBgn0002940	25060	28004	16027	16701	20883	10024
FBgn0002941	63	75	9	19	19	25
FBgn0002945	370	290	123	91	147	148
FBgn0002948	43	81	2627	2622	1914	17
FBgn0002962	87	139	8065	6622	5494	35
FBgn0002989	86	79	1185	1065	974	34
FBgn0003002	50	40	6	8	5	20
FBgn0003008	203	224	621	587	534	81
FBgn0003009	210	97	17	50	21	84
FBgn0003011	190	124	7	13	26	76
FBgn0003015	42	121	803	627	405	17
FBgn0003016	774	933	1518	1181	1070	310
FBgn0003023	109	197	5941	6301	4552	43
FBgn0003028	410	530	4884	5035	3578	164
FBgn0003041	716	762	2813	2828	2220	286
FBgn0003042	211	236	611	594	495	84
FBgn0003044	332	453	3692	3365	2652	133
FBgn0003062	1545	2156	3101	3037	2875	618
FBgn0003068	435	410	250	182	270	174
FBgn0003071	12260	12031	3937	3481	3483	4904
FBgn0003074	14103	12319	11130	10043	10548	5641
FBgn0003076	5121	4777	7628	6190	7123	2049
FBgn0003079	392	501	1905	1715	1423	157
FBgn0003082	936	991	2099	1935	1783	374
FBgn0003087	168	76	3377	3422	2679	67
FBgn0003089	55	64	11	14	7	22
FBgn0003090	444	536	56	45	57	177
FBgn0003091	714	667	167	186	225	285
FBgn0003093	1489	1771	1206	953	1092	596
FBgn0003114	23	25	777	1015	736	9
FBgn0003116	507	485	1127	1147	1035	203
FBgn0003117	114	101	12	8	17	45
FBgn0003124	1013	793	11102	11177	8310	405
FBgn0003129	83	86	29	42	42	33
FBgn0003132	772	539	145	179	160	309
FBgn0003137	5443	4735	895	589	1083	2177
FBgn0003139	577	692	2576	2359	2133	231
FBgn0003140	373	242	28	97	69	149
FBgn0003141	2923	3063	1133	1258	1158	1169
FBgn0003145	295	165	69	54	132	118
FBgn0003149	71040	77814	3385	2414	3936	28416
FBgn0003162	8647	8712	381	303	493	3459
FBgn0003165	1808	1665	2937	2519	2097	723
FBgn0003174	85	119	2	8	18	34
FBgn0003187	1425	864	2886	2725	2310	570
FBgn0003189	988	857	1699	1461	1396	395
FBgn0003204	1924	2113	4928	4603	3910	770
FBgn0003205	1492	1811	3711	3870	3104	597
FBgn0003209	2461	2078	1709	1413	1554	984
FBgn0003210	773	879	2750	2374	1937	309
FBgn0003218	2924	2505	2634	2091	2236	1170
FBgn0003227	64	61	313	358	259	26
FBgn0003231	6573	5719	13111	9185	13527	2629
FBgn0003248	565	482	85	157	153	226
FBgn0003249	2274	2478	1103	1401	1929	909
FBgn0003254	167	112	18	41	43	67
FBgn0003255	290	453	11	11	22	116
FBgn0003256	1085	1261	3267	2574	2247	434
FBgn0003257	311	450	2038	1826	1581	124
FBgn0003261	8512	9869	26221	22287	22075	3405
FBgn0003267	31	10	3	3	3	12
FBgn0003268	124	199	1688	1464	1150	50
FBgn0003274	38094	46939	83911	60368	98168	15238
FBgn0003275	770	707	1221	1524	1354	308
FBgn0003277	887	1096	3508	3022	2431	355
FBgn0003278	217	287	697	657	540	87
FBgn0003279	45629	47449	100872	87447	98878	18252
FBgn0003292	150	271	747	785	558	60
FBgn0003295	68	53	5	10	26	27
FBgn0003300	21	25	12	5	6	8
FBgn0003301	887	979	307	229	303	355
FBgn0003302	657	468	484	523	391	263
FBgn0003308	507	431	335	222	377	203
FBgn0003310	479	553	1966	1779	1335	191
FBgn0003317	542	476	1881	1758	1342	217
FBgn0003319	51	53	0	2	4	20
FBgn0003326	59	54	27	8	8	23
FBgn0003330	249	359	1328	1266	1120	100
FBgn0003334	580	657	2578	2534	1841	232
FBgn0003339	136	202	8	19	29	54
FBgn0003345	1377	1637	820	568	720	551
FBgn0003346	679	706	3614	3240	2678	272
FBgn0003356	137	260	15305	5003	9989	55
FBgn0003357	109	180	10934	3289	7161	43
FBgn0003358	18	68	3415	1527	2380	7
FBgn0003360	204583	227518	38375	31305	32883	81833
FBgn0003380	1760	2263	192	235	226	704
FBgn0003386	447	541	93	106	159	179
FBgn0003388	151	88	27	16	32	60
FBgn0003390	941	914	278	179	338	376
FBgn0003391	1060	1248	2139	1876	1605	424
FBgn0003392	3719	3698	2555	2264	2194	1488
FBgn0003396	1435	1547	1030	853	840	574
FBgn0003401	161	261	1809	1792	1467	64
FBgn0003410	1427	1388	3219	3119	2531	571
FBgn0003411	62	33	0	0	1	25
FBgn0003415	1095	1161	2776	2642	2008	438
FBgn0003416	254	273	1386	1124	942	101
FBgn0003423	3851	4113	2869	2590	2475	1540
FBgn0003429	1688	2154	282	312	374	675
FBgn0003435	7127	4983	1279	1491	1391	2851
FBgn0003444	101	181	987	1002	786	40
FBgn0003447	730	678	3688	3602	2678	292
FBgn0003449	502	644	2373	2693	2244	201
FBgn0003450	14	12	354	344	316	5
FBgn0003459	264	261	1255	1275	868	105
FBgn0003460	227	276	84	90	109	91
FBgn0003462	8794	9289	18183	15667	18913	3518
FBgn0003463	812	947	562	340	553	325
FBgn0003464	1794	1880	3658	3307	3027	718
FBgn0003479	231	206	995	1013	920	92
FBgn0003480	63	77	549	453	356	25
FBgn0003482	3	11	267	325	262	1
FBgn0003483	134	177	2691	2444	1761	54
FBgn0003495	304	280	2116	2009	1617	122
FBgn0003499	484	416	45	49	38	193
FBgn0003507	1195	713	666	517	698	478
FBgn0003512	299	420	1889	1795	1618	120
FBgn0003513	76	61	1	17	9	30
FBgn0003514	2535	2712	4205	3561	4351	1014
FBgn0003517	47398	51886	79714	72402	96101	18959
FBgn0003520	1251	1399	3233	3064	2401	501
FBgn0003525	179	362	9353	9094	6583	72
FBgn0003527	191	148	679	596	513	76
FBgn0003545	425	374	2613	2499	2090	170
FBgn0003557	1553	1953	3586	3106	2824	621
FBgn0003559	443	459	765	641	679	177
FBgn0003567	470	572	2693	2458	1865	188
FBgn0003575	704	736	1413	1305	1149	281
FBgn0003598	345	340	5288	4473	3497	138
FBgn0003607	762	1028	5526	5950	4843	305
FBgn0003612	1137	1117	6343	6220	4789	455
FBgn0003638	3043	2887	4188	3997	4300	1217
FBgn0003651	560	606	338	294	419	224
FBgn0003655	67	169	8542	7840	5912	27
FBgn0003656	6497	5394	3124	3062	2733	2599
FBgn0003660	2490	2662	4085	3897	4101	996
FBgn0003676	1320	2076	12928	11586	10310	528
FBgn0003687	168	238	1479	1756	1349	67
FBgn0003701	80	85	2434	2546	1928	32
FBgn0003710	258	254	33	24	45	103
FBgn0003714	803	879	1906	2214	2084	321
FBgn0003719	316	169	58	53	81	126
FBgn0003721	75291	82776	10063	9319	10263	30116
FBgn0003731	1248	1266	884	496	742	499
FBgn0003733	36	60	2040	2080	1623	14
FBgn0003741	167	197	310	375	318	67
FBgn0003744	1418	1655	3354	3143	2710	567
FBgn0003748	4295	4296	3612	2655	3572	1718
FBgn0003751	12	15	166	161	119	5
FBgn0003861	5013	4556	1140	1441	1749	2005
FBgn0003863	4994	5739	24761	16225	25433	1998
FBgn0003866	642	587	279	184	311	257
FBgn0003867	2409	1671	416	299	394	963
FBgn0003870	1201	1398	2693	2712	2264	480
FBgn0003882	800	706	2426	2184	1881	320
FBgn0003885	5102	4532	2558	2541	2446	2041
FBgn0003886	727	667	55	42	65	291
FBgn0003889	11108	6147	1594	1653	2141	4443
FBgn0003890	4120	3835	1150	625	1191	1648
FBgn0003891	4028	4744	3712	2909	3345	1611
FBgn0003892	174	182	105	81	100	70
FBgn0003896	226	256	56	46	47	90
FBgn0003900	358	238	61	45	108	143
FBgn0003941	17818	18141	39050	37159	41687	7127
FBgn0003942	25006	27689	47589	43173	46051	10002
FBgn0003943	14904	14713	8750	7381	7803	5961
FBgn0003944	359	426	143	90	96	143
FBgn0003961	10	4	2770	1793	3801	4
FBgn0003964	916	943	3513	3328	2750	366
FBgn0003965	220	208	439	343	511	88
FBgn0003969	680	743	1578	1094	1262	272
FBgn0003975	136	187	42	30	33	54
FBgn0003977	316	434	750	611	581	126
FBgn0003978	252	187	732	752	582	101
FBgn0003979	0	0	2953	645	481	0
FBgn0003980	5	8	1051	175	154	2
FBgn0003983	0	0	812	258	118	0
FBgn0003984	319	292	125	127	136	128
FBgn0003996	713	615	452	224	581	285
FBgn0003997	2978	1703	222	210	256	1191
FBgn0004003	640	759	101	58	89	256
FBgn0004034	26	47	2	6	4	10
FBgn0004045	549	1475	26117	17409	24616	220
FBgn0004047	3861	6918	22834	14215	22506	1544
FBgn0004049	723	711	2072	2004	1464	289
FBgn0004050	551	754	1958	1884	1526	220
FBgn0004055	1670	1685	415	348	491	668
FBgn0004057	2002	1919	1009	751	1186	801
FBgn0004087	115	163	751	909	863	46
FBgn0004101	447	594	1003	986	772	179
FBgn0004102	128	158	22	27	34	51
FBgn0004103	3912	4312	6584	6163	5196	1565
FBgn0004106	113	167	3850	3967	2978	45
FBgn0004107	108	149	2180	2595	1894	43
FBgn0004108	146	167	624	619	475	58
FBgn0004117	60921	60124	3441	2943	4492	24368
FBgn0004118	251	237	58	31	58	100
FBgn0004132	279	244	1267	1404	1256	111
FBgn0004133	1375	1254	315	271	416	550
FBgn0004168	232	196	33	16	16	93
FBgn0004169	73106	96076	4831	3780	5880	29243
FBgn0004171	5521	3737	751	1210	1249	2208
FBgn0004173	6475	3695	842	1179	1673	2590
FBgn0004174	4107	2677	473	785	889	1643
FBgn0004175	3627	2204	486	665	893	1451
FBgn0004177	6423	6782	12308	11077	9846	2569
FBgn0004181	13185	7726	1362	1800	1703	5274
FBgn0004197	130	146	28	16	57	52
FBgn0004198	655	781	282	200	290	262
FBgn0004228	392	454	632	564	775	157
FBgn0004237	2102	2237	5944	6351	5165	841
FBgn0004240	24	21	2048	1800	2270	10
FBgn0004242	3185	3478	319	247	375	1274
FBgn0004244	821	967	106	80	125	328
FBgn0004360	102	103	34	39	48	41
FBgn0004362	1718	2246	19247	21780	17128	687
FBgn0004364	710	1019	405	243	353	284
FBgn0004367	106	157	688	665	539	42
FBgn0004370	1887	1767	1308	1175	1125	755
FBgn0004372	67	63	12	19	9	27
FBgn0004374	667	522	1990	1801	1520	267
FBgn0004378	98	145	2101	1884	1412	39
FBgn0004379	368	228	2392	2563	1725	147
FBgn0004380	509	599	886	945	758	204
FBgn0004381	417	452	1511	1438	1281	167
FBgn0004390	622	674	2094	2088	1621	249
FBgn0004391	234	287	1722	1313	1226	94
FBgn0004395	572	585	1549	1461	1253	229
FBgn0004396	832	920	374	203	272	333
FBgn0004400	11	31	592	710	504	4
FBgn0004401	2878	3399	12428	11547	10029	1151
FBgn0004403	15079	16369	27626	25125	31141	6032
FBgn0004404	3539	3928	7774	7533	9094	1416
FBgn0004406	197	237	1101	1096	912	79
FBgn0004414	2485	945	488	341	1000	994
FBgn0004419	1953	2126	38620	40361	31293	781
FBgn0004429	229	299	1170	950	2313	92
FBgn0004431	55	48	648	249	659	22
FBgn0004432	8024	8691	39410	38420	35102	3210
FBgn0004435	1721	1654	625	636	770	688
FBgn0004436	5043	4720	3541	3441	3273	2017
FBgn0004449	3789	3764	763	651	814	1516
FBgn0004456	808	854	626	420	555	323
FBgn0004463	177	246	865	756	748	71
FBgn0004465	935	1192	2841	2479	2556	374
FBgn0004507	32951	32195	12068	9777	9233	13180
FBgn0004510	168	240	1568	1651	1397	67
FBgn0004512	1814	1499	1197	755	1468	726
FBgn0004513	555	609	176	108	170	222
FBgn0004514	175	196	142	84	158	70
FBgn0004516	4750	3995	234	137	208	1900
FBgn0004554	22	51	17	6	6	9
FBgn0004556	174	265	1250	1146	1094	69
FBgn0004569	778	946	125	100	158	311
FBgn0004573	81	90	26	27	19	32
FBgn0004575	1290	1240	205	170	241	516
